state,count,t,run_no
Susceptible,3,0.2,0
Exposed,0,0.2,0
Infectious,1,0.2,0
Recovered,0,0.2,0
Susceptible,3,0.21000000000000002,0
Exposed,0,0.21000000000000002,0
Infectious,1,0.21000000000000002,0
Recovered,0,0.21000000000000002,0
Susceptible,3,0.22,0
Exposed,0,0.22,0
Infectious,1,0.22,0
Recovered,0,0.22,0
Susceptible,3,0.23,0
Exposed,0,0.23,0
Infectious,1,0.23,0
Recovered,0,0.23,0
Susceptible,3,0.24000000000000002,0
Exposed,0,0.24000000000000002,0
Infectious,1,0.24000000000000002,0
Recovered,0,0.24000000000000002,0
Susceptible,3,0.25,0
Exposed,0,0.25,0
Infectious,1,0.25,0
Recovered,0,0.25,0
Susceptible,3,0.26,0
Exposed,0,0.26,0
Infectious,1,0.26,0
Recovered,0,0.26,0
Susceptible,3,0.27,0
Exposed,0,0.27,0
Infectious,1,0.27,0
Recovered,0,0.27,0
Susceptible,3,0.28,0
Exposed,0,0.28,0
Infectious,1,0.28,0
Recovered,0,0.28,0
Susceptible,3,0.29000000000000004,0
Exposed,0,0.29000000000000004,0
Infectious,1,0.29000000000000004,0
Recovered,0,0.29000000000000004,0
Susceptible,3,0.3,0
Exposed,0,0.3,0
Infectious,1,0.3,0
Recovered,0,0.3,0
Susceptible,3,0.31,0
Exposed,0,0.31,0
Infectious,1,0.31,0
Recovered,0,0.31,0
Susceptible,3,0.32,0
Exposed,0,0.32,0
Infectious,1,0.32,0
Recovered,0,0.32,0
Susceptible,3,0.33,0
Exposed,0,0.33,0
Infectious,1,0.33,0
Recovered,0,0.33,0
Susceptible,3,0.34,0
Exposed,0,0.34,0
Infectious,1,0.34,0
Recovered,0,0.34,0
Susceptible,3,0.35000000000000003,0
Exposed,0,0.35000000000000003,0
Infectious,1,0.35000000000000003,0
Recovered,0,0.35000000000000003,0
Susceptible,3,0.36000000000000004,0
Exposed,0,0.36000000000000004,0
Infectious,1,0.36000000000000004,0
Recovered,0,0.36000000000000004,0
Susceptible,3,0.37,0
Exposed,0,0.37,0
Infectious,1,0.37,0
Recovered,0,0.37,0
Susceptible,3,0.38,0
Exposed,0,0.38,0
Infectious,1,0.38,0
Recovered,0,0.38,0
Susceptible,3,0.39,0
Exposed,0,0.39,0
Infectious,1,0.39,0
Recovered,0,0.39,0
Susceptible,3,0.4,0
Exposed,0,0.4,0
Infectious,1,0.4,0
Recovered,0,0.4,0
Susceptible,3,0.41000000000000003,0
Exposed,0,0.41000000000000003,0
Infectious,1,0.41000000000000003,0
Recovered,0,0.41000000000000003,0
Susceptible,3,0.42000000000000004,0
Exposed,0,0.42000000000000004,0
Infectious,1,0.42000000000000004,0
Recovered,0,0.42000000000000004,0
Susceptible,3,0.43,0
Exposed,0,0.43,0
Infectious,1,0.43,0
Recovered,0,0.43,0
Susceptible,3,0.44,0
Exposed,0,0.44,0
Infectious,1,0.44,0
Recovered,0,0.44,0
Susceptible,3,0.45,0
Exposed,0,0.45,0
Infectious,1,0.45,0
Recovered,0,0.45,0
Susceptible,3,0.46,0
Exposed,0,0.46,0
Infectious,1,0.46,0
Recovered,0,0.46,0
Susceptible,3,0.47000000000000003,0
Exposed,0,0.47000000000000003,0
Infectious,1,0.47000000000000003,0
Recovered,0,0.47000000000000003,0
Susceptible,3,0.48000000000000004,0
Exposed,0,0.48000000000000004,0
Infectious,1,0.48000000000000004,0
Recovered,0,0.48000000000000004,0
Susceptible,3,0.49,0
Exposed,0,0.49,0
Infectious,1,0.49,0
Recovered,0,0.49,0
Susceptible,3,0.5,0
Exposed,0,0.5,0
Infectious,1,0.5,0
Recovered,0,0.5,0
Susceptible,3,0.51,0
Exposed,0,0.51,0
Infectious,1,0.51,0
Recovered,0,0.51,0
Susceptible,3,0.52,0
Exposed,0,0.52,0
Infectious,1,0.52,0
Recovered,0,0.52,0
Susceptible,3,0.53,0
Exposed,0,0.53,0
Infectious,1,0.53,0
Recovered,0,0.53,0
Susceptible,3,0.54,0
Exposed,0,0.54,0
Infectious,1,0.54,0
Recovered,0,0.54,0
Susceptible,3,0.55,0
Exposed,0,0.55,0
Infectious,1,0.55,0
Recovered,0,0.55,0
Susceptible,3,0.56,0
Exposed,0,0.56,0
Infectious,1,0.56,0
Recovered,0,0.56,0
Susceptible,3,0.5700000000000001,0
Exposed,0,0.5700000000000001,0
Infectious,1,0.5700000000000001,0
Recovered,0,0.5700000000000001,0
Susceptible,3,0.5800000000000001,0
Exposed,0,0.5800000000000001,0
Infectious,1,0.5800000000000001,0
Recovered,0,0.5800000000000001,0
Susceptible,3,0.59,0
Exposed,0,0.59,0
Infectious,1,0.59,0
Recovered,0,0.59,0
Susceptible,3,0.6,0
Exposed,0,0.6,0
Infectious,1,0.6,0
Recovered,0,0.6,0
Susceptible,3,0.61,0
Exposed,0,0.61,0
Infectious,1,0.61,0
Recovered,0,0.61,0
Susceptible,3,0.62,0
Exposed,0,0.62,0
Infectious,1,0.62,0
Recovered,0,0.62,0
Susceptible,3,0.63,0
Exposed,0,0.63,0
Infectious,1,0.63,0
Recovered,0,0.63,0
Susceptible,3,0.64,0
Exposed,0,0.64,0
Infectious,1,0.64,0
Recovered,0,0.64,0
Susceptible,3,0.65,0
Exposed,0,0.65,0
Infectious,1,0.65,0
Recovered,0,0.65,0
Susceptible,3,0.66,0
Exposed,0,0.66,0
Infectious,1,0.66,0
Recovered,0,0.66,0
Susceptible,3,0.67,0
Exposed,0,0.67,0
Infectious,1,0.67,0
Recovered,0,0.67,0
Susceptible,3,0.68,0
Exposed,0,0.68,0
Infectious,1,0.68,0
Recovered,0,0.68,0
Susceptible,3,0.6900000000000001,0
Exposed,0,0.6900000000000001,0
Infectious,1,0.6900000000000001,0
Recovered,0,0.6900000000000001,0
Susceptible,3,0.7000000000000001,0
Exposed,0,0.7000000000000001,0
Infectious,1,0.7000000000000001,0
Recovered,0,0.7000000000000001,0
Susceptible,3,0.7100000000000001,0
Exposed,0,0.7100000000000001,0
Infectious,1,0.7100000000000001,0
Recovered,0,0.7100000000000001,0
Susceptible,3,0.72,0
Exposed,0,0.72,0
Infectious,1,0.72,0
Recovered,0,0.72,0
Susceptible,3,0.73,0
Exposed,0,0.73,0
Infectious,1,0.73,0
Recovered,0,0.73,0
Susceptible,3,0.74,0
Exposed,0,0.74,0
Infectious,1,0.74,0
Recovered,0,0.74,0
Susceptible,3,0.75,0
Exposed,0,0.75,0
Infectious,1,0.75,0
Recovered,0,0.75,0
Susceptible,3,0.76,0
Exposed,0,0.76,0
Infectious,1,0.76,0
Recovered,0,0.76,0
Susceptible,3,0.77,0
Exposed,0,0.77,0
Infectious,1,0.77,0
Recovered,0,0.77,0
Susceptible,3,0.78,0
Exposed,0,0.78,0
Infectious,1,0.78,0
Recovered,0,0.78,0
Susceptible,3,0.79,0
Exposed,0,0.79,0
Infectious,1,0.79,0
Recovered,0,0.79,0
Susceptible,3,0.8,0
Exposed,0,0.8,0
Infectious,1,0.8,0
Recovered,0,0.8,0
Susceptible,3,0.81,0
Exposed,0,0.81,0
Infectious,1,0.81,0
Recovered,0,0.81,0
Susceptible,3,0.8200000000000001,0
Exposed,0,0.8200000000000001,0
Infectious,1,0.8200000000000001,0
Recovered,0,0.8200000000000001,0
Susceptible,3,0.8300000000000001,0
Exposed,0,0.8300000000000001,0
Infectious,1,0.8300000000000001,0
Recovered,0,0.8300000000000001,0
Susceptible,3,0.8400000000000001,0
Exposed,0,0.8400000000000001,0
Infectious,1,0.8400000000000001,0
Recovered,0,0.8400000000000001,0
Susceptible,3,0.85,0
Exposed,0,0.85,0
Infectious,1,0.85,0
Recovered,0,0.85,0
Susceptible,3,0.86,0
Exposed,0,0.86,0
Infectious,1,0.86,0
Recovered,0,0.86,0
Susceptible,3,0.87,0
Exposed,0,0.87,0
Infectious,1,0.87,0
Recovered,0,0.87,0
Susceptible,3,0.88,0
Exposed,0,0.88,0
Infectious,1,0.88,0
Recovered,0,0.88,0
Susceptible,3,0.89,0
Exposed,0,0.89,0
Infectious,1,0.89,0
Recovered,0,0.89,0
Susceptible,3,0.9,0
Exposed,0,0.9,0
Infectious,1,0.9,0
Recovered,0,0.9,0
Susceptible,3,0.91,0
Exposed,0,0.91,0
Infectious,1,0.91,0
Recovered,0,0.91,0
Susceptible,3,0.92,0
Exposed,0,0.92,0
Infectious,1,0.92,0
Recovered,0,0.92,0
Susceptible,3,0.93,0
Exposed,0,0.93,0
Infectious,1,0.93,0
Recovered,0,0.93,0
Susceptible,3,0.9400000000000001,0
Exposed,0,0.9400000000000001,0
Infectious,1,0.9400000000000001,0
Recovered,0,0.9400000000000001,0
Susceptible,3,0.9500000000000001,0
Exposed,0,0.9500000000000001,0
Infectious,1,0.9500000000000001,0
Recovered,0,0.9500000000000001,0
Susceptible,3,0.9600000000000001,0
Exposed,0,0.9600000000000001,0
Infectious,1,0.9600000000000001,0
Recovered,0,0.9600000000000001,0
Susceptible,3,0.97,0
Exposed,0,0.97,0
Infectious,1,0.97,0
Recovered,0,0.97,0
Susceptible,3,0.98,0
Exposed,0,0.98,0
Infectious,1,0.98,0
Recovered,0,0.98,0
Susceptible,3,0.99,0
Exposed,0,0.99,0
Infectious,1,0.99,0
Recovered,0,0.99,0
Susceptible,3,1.0,0
Exposed,0,1.0,0
Infectious,1,1.0,0
Recovered,0,1.0,0
Susceptible,3,1.01,0
Exposed,0,1.01,0
Infectious,1,1.01,0
Recovered,0,1.01,0
Susceptible,3,1.02,0
Exposed,0,1.02,0
Infectious,1,1.02,0
Recovered,0,1.02,0
Susceptible,3,1.03,0
Exposed,0,1.03,0
Infectious,1,1.03,0
Recovered,0,1.03,0
Susceptible,3,1.04,0
Exposed,0,1.04,0
Infectious,1,1.04,0
Recovered,0,1.04,0
Susceptible,3,1.05,0
Exposed,0,1.05,0
Infectious,1,1.05,0
Recovered,0,1.05,0
Susceptible,3,1.06,0
Exposed,0,1.06,0
Infectious,1,1.06,0
Recovered,0,1.06,0
Susceptible,3,1.07,0
Exposed,0,1.07,0
Infectious,1,1.07,0
Recovered,0,1.07,0
Susceptible,3,1.08,0
Exposed,0,1.08,0
Infectious,1,1.08,0
Recovered,0,1.08,0
Susceptible,3,1.09,0
Exposed,0,1.09,0
Infectious,1,1.09,0
Recovered,0,1.09,0
Susceptible,3,1.1,0
Exposed,0,1.1,0
Infectious,1,1.1,0
Recovered,0,1.1,0
Susceptible,3,1.11,0
Exposed,0,1.11,0
Infectious,1,1.11,0
Recovered,0,1.11,0
Susceptible,3,1.12,0
Exposed,0,1.12,0
Infectious,1,1.12,0
Recovered,0,1.12,0
Susceptible,3,1.1300000000000001,0
Exposed,0,1.1300000000000001,0
Infectious,1,1.1300000000000001,0
Recovered,0,1.1300000000000001,0
Susceptible,3,1.1400000000000001,0
Exposed,0,1.1400000000000001,0
Infectious,1,1.1400000000000001,0
Recovered,0,1.1400000000000001,0
Susceptible,3,1.1500000000000001,0
Exposed,0,1.1500000000000001,0
Infectious,1,1.1500000000000001,0
Recovered,0,1.1500000000000001,0
Susceptible,3,1.1600000000000001,0
Exposed,0,1.1600000000000001,0
Infectious,1,1.1600000000000001,0
Recovered,0,1.1600000000000001,0
Susceptible,3,1.17,0
Exposed,0,1.17,0
Infectious,1,1.17,0
Recovered,0,1.17,0
Susceptible,3,1.18,0
Exposed,0,1.18,0
Infectious,1,1.18,0
Recovered,0,1.18,0
Susceptible,3,1.19,0
Exposed,0,1.19,0
Infectious,1,1.19,0
Recovered,0,1.19,0
Susceptible,3,1.2,0
Exposed,0,1.2,0
Infectious,1,1.2,0
Recovered,0,1.2,0
Susceptible,3,1.21,0
Exposed,0,1.21,0
Infectious,1,1.21,0
Recovered,0,1.21,0
Susceptible,3,1.22,0
Exposed,0,1.22,0
Infectious,1,1.22,0
Recovered,0,1.22,0
Susceptible,3,1.23,0
Exposed,0,1.23,0
Infectious,1,1.23,0
Recovered,0,1.23,0
Susceptible,3,1.24,0
Exposed,0,1.24,0
Infectious,1,1.24,0
Recovered,0,1.24,0
Susceptible,3,1.25,0
Exposed,0,1.25,0
Infectious,1,1.25,0
Recovered,0,1.25,0
Susceptible,3,1.26,0
Exposed,0,1.26,0
Infectious,1,1.26,0
Recovered,0,1.26,0
Susceptible,3,1.27,0
Exposed,0,1.27,0
Infectious,1,1.27,0
Recovered,0,1.27,0
Susceptible,3,1.28,0
Exposed,0,1.28,0
Infectious,1,1.28,0
Recovered,0,1.28,0
Susceptible,3,1.29,0
Exposed,0,1.29,0
Infectious,1,1.29,0
Recovered,0,1.29,0
Susceptible,3,1.3,0
Exposed,0,1.3,0
Infectious,1,1.3,0
Recovered,0,1.3,0
Susceptible,3,1.31,0
Exposed,0,1.31,0
Infectious,1,1.31,0
Recovered,0,1.31,0
Susceptible,3,1.32,0
Exposed,0,1.32,0
Infectious,1,1.32,0
Recovered,0,1.32,0
Susceptible,3,1.33,0
Exposed,0,1.33,0
Infectious,1,1.33,0
Recovered,0,1.33,0
Susceptible,3,1.34,0
Exposed,0,1.34,0
Infectious,1,1.34,0
Recovered,0,1.34,0
Susceptible,3,1.35,0
Exposed,0,1.35,0
Infectious,1,1.35,0
Recovered,0,1.35,0
Susceptible,3,1.36,0
Exposed,0,1.36,0
Infectious,1,1.36,0
Recovered,0,1.36,0
Susceptible,3,1.37,0
Exposed,0,1.37,0
Infectious,1,1.37,0
Recovered,0,1.37,0
Susceptible,3,1.3800000000000001,0
Exposed,0,1.3800000000000001,0
Infectious,1,1.3800000000000001,0
Recovered,0,1.3800000000000001,0
Susceptible,3,1.3900000000000001,0
Exposed,0,1.3900000000000001,0
Infectious,1,1.3900000000000001,0
Recovered,0,1.3900000000000001,0
Susceptible,3,1.4000000000000001,0
Exposed,0,1.4000000000000001,0
Infectious,1,1.4000000000000001,0
Recovered,0,1.4000000000000001,0
Susceptible,3,1.4100000000000001,0
Exposed,0,1.4100000000000001,0
Infectious,1,1.4100000000000001,0
Recovered,0,1.4100000000000001,0
Susceptible,3,1.42,0
Exposed,0,1.42,0
Infectious,1,1.42,0
Recovered,0,1.42,0
Susceptible,3,1.43,0
Exposed,0,1.43,0
Infectious,1,1.43,0
Recovered,0,1.43,0
Susceptible,3,1.44,0
Exposed,0,1.44,0
Infectious,1,1.44,0
Recovered,0,1.44,0
Susceptible,3,1.45,0
Exposed,0,1.45,0
Infectious,1,1.45,0
Recovered,0,1.45,0
Susceptible,3,1.46,0
Exposed,0,1.46,0
Infectious,1,1.46,0
Recovered,0,1.46,0
Susceptible,3,1.47,0
Exposed,0,1.47,0
Infectious,1,1.47,0
Recovered,0,1.47,0
Susceptible,3,1.48,0
Exposed,0,1.48,0
Infectious,1,1.48,0
Recovered,0,1.48,0
Susceptible,3,1.49,0
Exposed,0,1.49,0
Infectious,1,1.49,0
Recovered,0,1.49,0
Susceptible,3,1.5,0
Exposed,0,1.5,0
Infectious,1,1.5,0
Recovered,0,1.5,0
Susceptible,3,1.51,0
Exposed,0,1.51,0
Infectious,1,1.51,0
Recovered,0,1.51,0
Susceptible,3,1.52,0
Exposed,0,1.52,0
Infectious,1,1.52,0
Recovered,0,1.52,0
Susceptible,3,1.53,0
Exposed,0,1.53,0
Infectious,1,1.53,0
Recovered,0,1.53,0
Susceptible,3,1.54,0
Exposed,0,1.54,0
Infectious,1,1.54,0
Recovered,0,1.54,0
Susceptible,3,1.55,0
Exposed,0,1.55,0
Infectious,1,1.55,0
Recovered,0,1.55,0
Susceptible,3,1.56,0
Exposed,0,1.56,0
Infectious,1,1.56,0
Recovered,0,1.56,0
Susceptible,3,1.57,0
Exposed,0,1.57,0
Infectious,1,1.57,0
Recovered,0,1.57,0
Susceptible,3,1.58,0
Exposed,0,1.58,0
Infectious,1,1.58,0
Recovered,0,1.58,0
Susceptible,3,1.59,0
Exposed,0,1.59,0
Infectious,1,1.59,0
Recovered,0,1.59,0
Susceptible,3,1.6,0
Exposed,0,1.6,0
Infectious,1,1.6,0
Recovered,0,1.6,0
Susceptible,3,1.61,0
Exposed,0,1.61,0
Infectious,1,1.61,0
Recovered,0,1.61,0
Susceptible,3,1.62,0
Exposed,0,1.62,0
Infectious,1,1.62,0
Recovered,0,1.62,0
Susceptible,3,1.6300000000000001,0
Exposed,0,1.6300000000000001,0
Infectious,1,1.6300000000000001,0
Recovered,0,1.6300000000000001,0
Susceptible,3,1.6400000000000001,0
Exposed,0,1.6400000000000001,0
Infectious,1,1.6400000000000001,0
Recovered,0,1.6400000000000001,0
Susceptible,3,1.6500000000000001,0
Exposed,0,1.6500000000000001,0
Infectious,1,1.6500000000000001,0
Recovered,0,1.6500000000000001,0
Susceptible,3,1.6600000000000001,0
Exposed,0,1.6600000000000001,0
Infectious,1,1.6600000000000001,0
Recovered,0,1.6600000000000001,0
Susceptible,3,1.6700000000000002,0
Exposed,0,1.6700000000000002,0
Infectious,1,1.6700000000000002,0
Recovered,0,1.6700000000000002,0
Susceptible,3,1.68,0
Exposed,0,1.68,0
Infectious,1,1.68,0
Recovered,0,1.68,0
Susceptible,3,1.69,0
Exposed,0,1.69,0
Infectious,1,1.69,0
Recovered,0,1.69,0
Susceptible,3,1.7,0
Exposed,0,1.7,0
Infectious,1,1.7,0
Recovered,0,1.7,0
Susceptible,3,1.71,0
Exposed,0,1.71,0
Infectious,1,1.71,0
Recovered,0,1.71,0
Susceptible,3,1.72,0
Exposed,0,1.72,0
Infectious,1,1.72,0
Recovered,0,1.72,0
Susceptible,3,1.73,0
Exposed,0,1.73,0
Infectious,1,1.73,0
Recovered,0,1.73,0
Susceptible,3,1.74,0
Exposed,0,1.74,0
Infectious,1,1.74,0
Recovered,0,1.74,0
Susceptible,3,1.75,0
Exposed,0,1.75,0
Infectious,1,1.75,0
Recovered,0,1.75,0
Susceptible,3,1.76,0
Exposed,0,1.76,0
Infectious,1,1.76,0
Recovered,0,1.76,0
Susceptible,3,1.77,0
Exposed,0,1.77,0
Infectious,1,1.77,0
Recovered,0,1.77,0
Susceptible,3,1.78,0
Exposed,0,1.78,0
Infectious,1,1.78,0
Recovered,0,1.78,0
Susceptible,3,1.79,0
Exposed,0,1.79,0
Infectious,1,1.79,0
Recovered,0,1.79,0
Susceptible,3,1.8,0
Exposed,0,1.8,0
Infectious,1,1.8,0
Recovered,0,1.8,0
Susceptible,3,1.81,0
Exposed,0,1.81,0
Infectious,1,1.81,0
Recovered,0,1.81,0
Susceptible,3,1.82,0
Exposed,0,1.82,0
Infectious,1,1.82,0
Recovered,0,1.82,0
Susceptible,3,1.83,0
Exposed,0,1.83,0
Infectious,1,1.83,0
Recovered,0,1.83,0
Susceptible,3,1.84,0
Exposed,0,1.84,0
Infectious,1,1.84,0
Recovered,0,1.84,0
Susceptible,3,1.85,0
Exposed,0,1.85,0
Infectious,1,1.85,0
Recovered,0,1.85,0
Susceptible,3,1.86,0
Exposed,0,1.86,0
Infectious,1,1.86,0
Recovered,0,1.86,0
Susceptible,3,1.87,0
Exposed,0,1.87,0
Infectious,1,1.87,0
Recovered,0,1.87,0
Susceptible,3,1.8800000000000001,0
Exposed,0,1.8800000000000001,0
Infectious,1,1.8800000000000001,0
Recovered,0,1.8800000000000001,0
Susceptible,3,1.8900000000000001,0
Exposed,0,1.8900000000000001,0
Infectious,1,1.8900000000000001,0
Recovered,0,1.8900000000000001,0
Susceptible,3,1.9000000000000001,0
Exposed,0,1.9000000000000001,0
Infectious,1,1.9000000000000001,0
Recovered,0,1.9000000000000001,0
Susceptible,3,1.9100000000000001,0
Exposed,0,1.9100000000000001,0
Infectious,1,1.9100000000000001,0
Recovered,0,1.9100000000000001,0
Susceptible,3,1.9200000000000002,0
Exposed,0,1.9200000000000002,0
Infectious,1,1.9200000000000002,0
Recovered,0,1.9200000000000002,0
Susceptible,3,1.93,0
Exposed,0,1.93,0
Infectious,1,1.93,0
Recovered,0,1.93,0
Susceptible,3,1.94,0
Exposed,0,1.94,0
Infectious,1,1.94,0
Recovered,0,1.94,0
Susceptible,3,1.95,0
Exposed,0,1.95,0
Infectious,1,1.95,0
Recovered,0,1.95,0
Susceptible,3,1.96,0
Exposed,0,1.96,0
Infectious,1,1.96,0
Recovered,0,1.96,0
Susceptible,3,1.97,0
Exposed,0,1.97,0
Infectious,1,1.97,0
Recovered,0,1.97,0
Susceptible,3,1.98,0
Exposed,0,1.98,0
Infectious,1,1.98,0
Recovered,0,1.98,0
Susceptible,3,1.99,0
Exposed,0,1.99,0
Infectious,1,1.99,0
Recovered,0,1.99,0
Susceptible,3,2.0,0
Exposed,0,2.0,0
Infectious,1,2.0,0
Recovered,0,2.0,0
Susceptible,3,2.01,0
Exposed,0,2.01,0
Infectious,1,2.01,0
Recovered,0,2.01,0
Susceptible,3,2.02,0
Exposed,0,2.02,0
Infectious,1,2.02,0
Recovered,0,2.02,0
Susceptible,3,2.03,0
Exposed,0,2.03,0
Infectious,1,2.03,0
Recovered,0,2.03,0
Susceptible,3,2.04,0
Exposed,0,2.04,0
Infectious,1,2.04,0
Recovered,0,2.04,0
Susceptible,3,2.05,0
Exposed,0,2.05,0
Infectious,1,2.05,0
Recovered,0,2.05,0
Susceptible,3,2.0599999999999996,0
Exposed,0,2.0599999999999996,0
Infectious,1,2.0599999999999996,0
Recovered,0,2.0599999999999996,0
Susceptible,3,2.07,0
Exposed,0,2.07,0
Infectious,1,2.07,0
Recovered,0,2.07,0
Susceptible,3,2.0799999999999996,0
Exposed,0,2.0799999999999996,0
Infectious,1,2.0799999999999996,0
Recovered,0,2.0799999999999996,0
Susceptible,3,2.09,0
Exposed,0,2.09,0
Infectious,1,2.09,0
Recovered,0,2.09,0
Susceptible,3,2.0999999999999996,0
Exposed,0,2.0999999999999996,0
Infectious,1,2.0999999999999996,0
Recovered,0,2.0999999999999996,0
Susceptible,3,2.11,0
Exposed,0,2.11,0
Infectious,1,2.11,0
Recovered,0,2.11,0
Susceptible,3,2.1199999999999997,0
Exposed,0,2.1199999999999997,0
Infectious,1,2.1199999999999997,0
Recovered,0,2.1199999999999997,0
Susceptible,3,2.13,0
Exposed,0,2.13,0
Infectious,1,2.13,0
Recovered,0,2.13,0
Susceptible,3,2.1399999999999997,0
Exposed,0,2.1399999999999997,0
Infectious,1,2.1399999999999997,0
Recovered,0,2.1399999999999997,0
Susceptible,3,2.15,0
Exposed,0,2.15,0
Infectious,1,2.15,0
Recovered,0,2.15,0
Susceptible,3,2.1599999999999997,0
Exposed,0,2.1599999999999997,0
Infectious,1,2.1599999999999997,0
Recovered,0,2.1599999999999997,0
Susceptible,3,2.17,0
Exposed,0,2.17,0
Infectious,1,2.17,0
Recovered,0,2.17,0
Susceptible,3,2.1799999999999997,0
Exposed,0,2.1799999999999997,0
Infectious,1,2.1799999999999997,0
Recovered,0,2.1799999999999997,0
Susceptible,3,2.19,0
Exposed,0,2.19,0
Infectious,1,2.19,0
Recovered,0,2.19,0
Susceptible,3,2.1999999999999997,0
Exposed,0,2.1999999999999997,0
Infectious,1,2.1999999999999997,0
Recovered,0,2.1999999999999997,0
Susceptible,3,2.21,0
Exposed,0,2.21,0
Infectious,1,2.21,0
Recovered,0,2.21,0
Susceptible,3,2.2199999999999998,0
Exposed,0,2.2199999999999998,0
Infectious,1,2.2199999999999998,0
Recovered,0,2.2199999999999998,0
Susceptible,3,2.23,0
Exposed,0,2.23,0
Infectious,1,2.23,0
Recovered,0,2.23,0
Susceptible,3,2.2399999999999998,0
Exposed,0,2.2399999999999998,0
Infectious,1,2.2399999999999998,0
Recovered,0,2.2399999999999998,0
Susceptible,3,2.25,0
Exposed,0,2.25,0
Infectious,1,2.25,0
Recovered,0,2.25,0
Susceptible,3,2.26,0
Exposed,0,2.26,0
Infectious,1,2.26,0
Recovered,0,2.26,0
Susceptible,3,2.27,0
Exposed,0,2.27,0
Infectious,1,2.27,0
Recovered,0,2.27,0
Susceptible,3,2.28,0
Exposed,0,2.28,0
Infectious,1,2.28,0
Recovered,0,2.28,0
Susceptible,3,2.29,0
Exposed,0,2.29,0
Infectious,1,2.29,0
Recovered,0,2.29,0
Susceptible,3,2.3,0
Exposed,0,2.3,0
Infectious,1,2.3,0
Recovered,0,2.3,0
Susceptible,3,2.31,0
Exposed,0,2.31,0
Infectious,1,2.31,0
Recovered,0,2.31,0
Susceptible,3,2.32,0
Exposed,0,2.32,0
Infectious,1,2.32,0
Recovered,0,2.32,0
Susceptible,3,2.3299999999999996,0
Exposed,0,2.3299999999999996,0
Infectious,1,2.3299999999999996,0
Recovered,0,2.3299999999999996,0
Susceptible,3,2.34,0
Exposed,0,2.34,0
Infectious,1,2.34,0
Recovered,0,2.34,0
Susceptible,3,2.3499999999999996,0
Exposed,0,2.3499999999999996,0
Infectious,1,2.3499999999999996,0
Recovered,0,2.3499999999999996,0
Susceptible,3,2.36,0
Exposed,0,2.36,0
Infectious,1,2.36,0
Recovered,0,2.36,0
Susceptible,3,2.3699999999999997,0
Exposed,0,2.3699999999999997,0
Infectious,1,2.3699999999999997,0
Recovered,0,2.3699999999999997,0
Susceptible,3,2.38,0
Exposed,0,2.38,0
Infectious,1,2.38,0
Recovered,0,2.38,0
Susceptible,3,2.3899999999999997,0
Exposed,0,2.3899999999999997,0
Infectious,1,2.3899999999999997,0
Recovered,0,2.3899999999999997,0
Susceptible,3,2.4,0
Exposed,0,2.4,0
Infectious,1,2.4,0
Recovered,0,2.4,0
Susceptible,3,2.4099999999999997,0
Exposed,0,2.4099999999999997,0
Infectious,1,2.4099999999999997,0
